EmployeeID,Age,Department,JobRole,EducationField,MonthlyIncome,YearsAtCompany,YearsInCurrentRole,JobSatisfaction,WorkLifeBalance,JobInvolvement,OverTime,BusinessTravel,DistanceFromHome,NumCompaniesWorked,TrainingTimesLastYear,Attrition
1,60,Sales,Sales Executive,Medical,3360,14,10,4,1,1,No,Rarely,7,9,2,Yes
2,44,Sales,Software Engineer,Technical Degree,6926,10,7,1,4,4,Yes,Travel_Rarely,24,2,5,Yes
3,23,Sales,Research Scientist,Human Resources,13083,1,1,2,2,4,Yes,Travel_Rarely,28,4,0,Yes
4,33,Research & Development,Software Engineer,Technical Degree,5885,5,4,4,1,1,No,Rarely,27,9,3,No
5,37,Sales,Accountant,Technical Degree,12498,13,13,3,2,3,Yes,Travel_Rarely,12,6,3,Yes
6,24,Research & Development,Research Scientist,Life Sciences,6056,2,2,1,1,3,No,Rarely,18,3,0,Yes
7,35,Human Resources,Accountant,Marketing,10933,9,8,2,1,2,No,Travel_Rarely,20,6,3,No
8,29,Finance,Human Resources,Life Sciences,14706,2,1,1,4,2,Yes,Frequently,8,3,1,Yes
9,27,IT,Accountant,Medical,13305,1,1,2,1,3,No,Travel_Rarely,18,9,3,No
10,55,Sales,Software Engineer,Life Sciences,6797,29,3,2,3,4,Yes,Frequently,15,7,5,No
11,44,Sales,Manager,Finance,11967,7,4,4,1,2,No,Frequently,15,4,1,No
12,46,Research & Development,Laboratory Technician,Finance,7359,12,8,1,3,1,No,Rarely,1,8,6,Yes
13,30,Sales,Human Resources,Finance,7963,0,0,4,4,4,Yes,Travel_Rarely,11,2,0,Yes
14,29,Finance,Manager,Finance,16486,2,0,3,1,2,No,Travel_Rarely,7,9,0,No
15,49,Human Resources,Accountant,Life Sciences,8778,8,7,4,2,1,Yes,Rarely,16,6,6,No
16,45,Finance,Laboratory Technician,Human Resources,11496,2,1,3,3,1,Yes,Rarely,3,4,6,No
17,35,Human Resources,Research Scientist,Finance,13382,0,0,1,2,3,No,Frequently,14,6,2,Yes
18,30,Human Resources,Research Scientist,Human Resources,2706,2,2,4,3,1,Yes,Travel_Rarely,20,3,5,Yes
19,58,IT,Manager,Medical,10074,6,4,3,3,1,No,Frequently,4,6,2,No
20,43,Research & Development,Human Resources,Life Sciences,8415,1,1,1,2,1,No,Rarely,21,5,3,No
21,49,Research & Development,Software Engineer,Technical Degree,16431,11,3,2,2,3,Yes,Travel_Rarely,26,6,3,Yes
22,46,Finance,Manager,Marketing,13994,0,0,1,1,3,No,Travel_Rarely,30,8,3,No
23,34,Sales,Software Engineer,Human Resources,8364,2,2,2,4,3,Yes,Travel_Rarely,9,4,0,No
24,45,Human Resources,Sales Executive,Medical,4498,21,15,4,4,1,No,Frequently,20,0,5,No
